event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692001,150.086,10670367.74,3185242.94,60000.0,13915610.69,92717.49
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692002,46.961,5859809.91,1479178.33,0.0,7338988.25,156278.3
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692100,180.564,18276409.35,3674030.23,0.0,21950439.57,121566.04
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692200,34.0,2922433.81,585008.35,55085.0,3562527.16,104780.21
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692300,105.932,7989730.63,2091299.06,46880.0,10127909.69,95607.37
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692400,22.068,888159.53,137531.82,0.0,1025691.35,46479.33
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692500,55.002,3399831.72,939667.38,0.0,4339499.1,78896.72
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692601,7.0,42283.33,13972.63,0.0,56255.96,8036.57
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692602,13.998,918113.84,221618.09,0.0,1139731.93,81422.66
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692700,85.972,5906059.41,1724613.22,0.0,7630672.63,88757.4
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692801,87.041,5266272.72,1430921.7,35471.18,6732665.6,77350.9
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692802,41.005,2807965.79,751334.81,0.0,3559300.6,86801.29
harvey-2017,Hurricane Harvey,Hurricane,2017,48339692900,11.982,658363.9,178452.36,14128.82,850945.08,71018.39
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693000,16.0,668528.48,239468.93,0.0,907997.41,56749.84
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693102,3.0,101667.34,3020.17,0.0,104687.51,34895.84
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693200,259.0,35472416.63,8297414.9,0.0,43769831.53,168995.49
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693300,22.0,835024.38,202694.94,30000.0,1067719.32,48532.7
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693500,3.0,30000.0,3702.24,0.0,33702.24,11234.08
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693600,2.0,9963.97,0.0,0.0,9963.97,4981.98
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693700,15.0,1622112.59,255690.3,0.0,1877802.89,125186.86
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693800,1.0,1379.8,0.0,0.0,1379.8,1379.8
